index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
30,0.262048,-0.00455475,-0.00145143,0.461921,-0.00231025,0.163564,-0.0429168,-0.000308351,-0.000111983,0.000175059,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,6.22138,1.96108,32.9976
31,0.271084,-0.00509739,-0.00133515,0.457383,-0.00222113,0.183307,-0.0388551,-0.00165257,-0.000600158,0.000938207,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,16.9477,5.3442,89.8468
32,0.28012,-0.00556906,-0.00119649,0.45242,-0.00202618,0.202412,-0.0354543,-0.00481799,-0.00174973,0.0027353,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,30.2905,9.55633,160.487
33,0.289157,-0.00591686,-0.00101875,0.447312,-0.00173492,0.220418,-0.033228,-0.0105851,-0.00384416,0.00600945,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,43.9298,13.8684,232.566
34,0.298193,-0.00608669,-0.000784812,0.442345,-0.00137644,0.236883,-0.0327237,-0.0197345,-0.0071669,0.0112038,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,55.5454,17.5512,293.731
35,0.307229,-0.00603271,-0.000480149,0.43776,-0.000995342,0.251466,-0.0344311,-0.0330466,-0.0120014,0.0187614,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,62.817,19.8757,331.632
36,0.316265,-0.00572633,-9.53484e-05,0.433706,-0.000640293,0.263998,-0.0386734,-0.0512617,-0.0186151,0.0291041,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,64.1317,20.7196,336.411
37,0.325301,-0.00515909,0.000375938,0.430212,-0.000338456,0.274449,-0.0454344,-0.0736988,-0.0267071,0.0418991,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,64.0162,24.3502,322.815
38,0.334337,-0.00433059,0.000948466,0.427228,-5.00978e-05,0.282705,-0.0541403,-0.0979096,-0.0352704,0.0558758,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,63.7783,30.6694,299.55
39,0.343373,-0.00324174,0.00164714,0.424663,0.000339375,0.288517,-0.0637436,-0.121336,-0.0432537,0.0697048,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,63.4749,38.3558,271.403
40,0.35241,-0.00189377,0.00250243,0.422405,0.000995693,0.29155,-0.0729485,-0.141418,-0.0496057,0.0820567,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,63.1631,46.0882,243.161
41,0.361446,-0.000287888,0.00354501,0.420342,0.00209542,0.291466,-0.0804562,-0.155598,-0.0532752,0.0916022,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,62.8998,52.5455,219.611
42,0.370482,0.00157486,0.00480035,0.41838,0.0037766,0.287998,-0.085213,-0.161317,-0.0532108,0.0970119,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,62.7419,56.4064,205.54
43,0.379518,0.00369373,0.00628351,0.416467,0.00609111,0.281052,-0.0866554,-0.156128,-0.0484094,0.0970119,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,62.5506,56.6532,205.529
44,0.388554,0.00606728,0.00799637,0.414601,0.00897603,0.270825,-0.0848671,-0.140138,-0.0389712,0.0916022,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,61.342,54.5503,219.54
